last_update,fin_year_end,period,exp_ccy_name,base_ccy_name,rate_type,rate
01/09/16 0:00,24/02/18 0:00,p2_next,INR,HUF,Plan,4.245
01/09/16 0:00,24/02/18 0:00,p6_next,USD,KRW,Plan,1199
01/09/16 0:00,24/02/18 0:00,p7_next,USD,KRW,Plan,1130
01/09/16 0:00,24/02/18 0:00,p8_next,USD,KRW,Plan,1130
01/09/16 0:00,24/02/18 0:00,p9_next,USD,KRW,Plan,1130
01/09/16 0:00,24/02/18 0:00,p10_next,USD,KRW,Plan,1130
01/09/16 0:00,24/02/18 0:00,p11_next,USD,KRW,Plan,1130
01/09/16 0:00,24/02/18 0:00,p12_next,USD,KRW,Plan,1130
01/09/16 0:00,24/02/18 0:00,p1_next,USD,MYR,Plan,4.19
01/09/16 0:00,24/02/18 0:00,p2_next,USD,MYR,Plan,4.19
01/09/16 0:00,24/02/18 0:00,p3_next,USD,MYR,Plan,4.19
01/09/16 0:00,24/02/18 0:00,p4_next,USD,MYR,Plan,4.19
01/09/16 0:00,24/02/18 0:00,p5_next,USD,MYR,Plan,4.19
01/09/16 0:00,24/02/18 0:00,p6_next,USD,MYR,Plan,4.19
01/09/16 0:00,24/02/18 0:00,p7_next,USD,MYR,Plan,4.15
01/09/16 0:00,24/02/18 0:00,p8_next,USD,MYR,Plan,4.15
01/09/16 0:00,24/02/18 0:00,p9_next,USD,MYR,Plan,4.15
01/09/16 0:00,24/02/18 0:00,p10_next,USD,MYR,Plan,4.15
01/09/16 0:00,24/02/18 0:00,p11_next,USD,MYR,Plan,4.15
01/09/16 0:00,24/02/18 0:00,p12_next,USD,MYR,Plan,4.15
01/09/16 0:00,24/02/18 0:00,p1_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p2_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p3_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p4_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p5_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p6_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p7_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p8_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p9_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p10_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p11_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p12_next,USD,PLN,Plan,4.2
01/09/16 0:00,24/02/18 0:00,p1_next,USD,THB,Plan,35.62058333
01/09/16 0:00,24/02/18 0:00,p2_next,USD,THB,Plan,35.62058333
01/09/16 0:00,24/02/18 0:00,p3_next,USD,THB,Plan,35.62058333
01/09/16 0:00,24/02/18 0:00,p4_next,USD,THB,Plan,35.62058333
01/09/16 0:00,24/02/18 0:00,p5_next,USD,THB,Plan,35.62058333
01/09/16 0:00,24/02/18 0:00,p6_next,USD,THB,Plan,35.62058333
01/09/16 0:00,24/02/18 0:00,p7_next,USD,THB,Plan,36
01/09/16 0:00,24/02/18 0:00,p8_next,USD,THB,Plan,36
01/09/16 0:00,24/02/18 0:00,p9_next,USD,THB,Plan,36
01/09/16 0:00,24/02/18 0:00,p10_next,USD,THB,Plan,36
01/09/16 0:00,24/02/18 0:00,p11_next,USD,THB,Plan,36
01/09/16 0:00,24/02/18 0:00,p12_next,USD,THB,Plan,36
01/09/16 0:00,24/02/18 0:00,p1_next,USD,TRY,Plan,3.5
01/09/16 0:00,24/02/18 0:00,p2_next,USD,TRY,Plan,3.5
01/09/16 0:00,24/02/18 0:00,p3_next,USD,TRY,Plan,3.5
01/09/16 0:00,24/02/18 0:00,p4_next,USD,TRY,Plan,3.5
